route,month,total_boardings,avg_weekday_boardings
Q11,2024-11,6422,262
Q11,2024-12,8095,306
Q11,2025-01,8320,330
Q11,2025-02,26153,1166
Q11,2025-03,60482,2435
Q11,2025-04,80108,3216
Q11,2025-05,94537,3661
Q11,2025-06,88513,3596
Q11,2025-07,90867,3387
Q11,2025-08,86347,3188
Q11,2025-09,178085,6717
Q11,2025-10,185737,6749
Q11,2025-11,162792,6407
Q11,2025-12,175774,6427
Q11,2026-01,161571,6103
Q11,2026-02,143472,5961
Q11,2026-03,166196,6279
Q11,2026-04,167542,6382
Q11,2026-05,192713,7312
Q11,2026-06,183515,6860
Q11,2026-07,153401,5430
Q110,2024-10,29478,1157
Q110,2024-11,30445,1127
Q110,2024-12,30536,1164
Q110,2025-01,21739,740
Q110,2025-02,75737,3221
Q110,2025-03,157516,6034
Q110,2025-04,151032,5681
Q110,2025-05,156422,5756
Q110,2025-06,145584,5591
Q110,2025-07,159969,5699
Q110,2025-08,157291,5812
Q110,2025-09,171972,6467
Q110,2025-10,184079,6725
Q110,2025-11,164543,6394
Q110,2025-12,170243,6223
Q110,2026-01,155776,5883
Q110,2026-02,135482,5619
Q110,2026-03,160633,6115
Q110,2026-04,164837,6236
Q110,2026-05,176264,6596
Q110,2026-06,186767,7041
Q110,2026-07,175460,6465
Q111,2024-10,351808,12924
Q111,2024-11,323060,12270
Q111,2024-12,313653,11569
Q111,2025-01,311268,11513
Q111,2025-02,265538,11535
Q111,2025-03,356832,13605
Q111,2025-04,337271,12815
Q111,2025-05,353656,12965
Q111,2025-06,315344,12229
Q111,2025-07,160603,5844
Q111,2025-08,145935,5365
Q111,2025-09,156269,5972
Q111,2025-10,168736,6287
Q111,2025-11,142595,5746
Q111,2025-12,153706,5715
Q111,2026-01,136709,5213
Q111,2026-02,110172,4578
Q111,2026-03,135046,5283
Q111,2026-04,128750,5061
Q111,2026-05,136558,5244
Q111,2026-06,144603,5486
Q111,2026-07,186886,6798
Q112,2024-10,19439,747
Q112,2024-11,19998,763
Q112,2024-12,18221,652
Q112,2025-01,18802,666
Q112,2025-02,59485,2509
Q112,2025-03,119683,4602
Q112,2025-04,119823,4554
Q112,2025-05,124651,4589
Q112,2025-06,114524,4336
Q112,2025-07,124119,4480
Q112,2025-08,117442,4288
Q112,2025-09,140039,5260
Q112,2025-10,150290,5513
Q112,2025-11,129926,5092
Q112,2025-12,132424,4799
Q112,2026-01,116762,4391
Q112,2026-02,103737,4306
Q112,2026-03,137643,5219
Q112,2026-04,136057,5096
Q112,2026-05,141681,5432
Q112,2026-06,147492,5429
Q112,2026-07,140610,5020
Q113,2024-10,125632,4691
Q113,2024-11,111502,4347
Q113,2024-12,104161,4055
Q113,2025-01,106228,4015
Q113,2025-02,98453,4358
Q113,2025-03,127781,5036
Q113,2025-04,119970,4759
Q113,2025-05,123101,4689
Q113,2025-06,113639,4604
Q113,2025-07,109783,4184
Q113,2025-08,95002,3808
Q113,2025-09,105142,4279
Q113,2025-10,108902,4256
Q113,2025-11,87685,3733
Q113,2025-12,93441,3590
Q113,2026-01,83178,3335
Q113,2026-02,64576,2778
Q113,2026-03,81328,3271
Q113,2026-04,86392,3492
Q113,2026-05,87862,3634
Q113,2026-06,91096,3719
Q113,2026-07,116795,4515
Q114,2024-10,196280,6720
Q114,2024-11,185494,6730
Q114,2024-12,185619,6498
Q114,2025-01,184216,6527
Q114,2025-02,161133,6558
Q114,2025-03,214578,7625
Q114,2025-04,205585,7225
Q114,2025-05,215053,7325
Q114,2025-06,192537,6850
Q114,2025-07,182191,6030
Q114,2025-08,173936,5859
Q114,2025-09,182506,6290
Q114,2025-10,195551,6523
Q114,2025-11,173786,6021
Q114,2025-12,176167,5751
Q114,2026-01,154139,5250
Q114,2026-02,134795,4985
Q114,2026-03,147166,5002
Q114,2026-04,135756,4740
Q114,2026-05,158707,5357
Q114,2026-06,173351,5910
Q114,2026-07,232240,7754
Q115,2025-06,6420,175
Q115,2025-07,116546,4207
Q115,2025-08,98175,3585
Q115,2025-09,108774,4103
Q115,2025-10,100231,3672
Q115,2025-11,92062,3698
Q115,2025-12,89896,3289
Q115,2026-01,83425,3105
Q115,2026-02,70478,2943
Q115,2026-03,88323,3389
Q115,2026-04,75824,2836
Q115,2026-05,81960,3094
Q115,2026-06,85451,3200
Q115,2026-07,104613,3722
Q12,2024-10,69210,2341
Q12,2024-11,55638,1955
Q12,2024-12,46885,1572
Q12,2025-01,47250,1457
Q12,2025-02,51937,1769
Q12,2025-03,57995,1995
Q12,2025-04,55067,1833
Q12,2025-05,59910,2061
Q12,2025-06,14760,478
Q12,2025-07,19154,696
Q12,2025-08,22592,650
Q12,2025-09,25523,784
Q12,2025-10,21476,598
Q12,2025-11,18317,453
Q12,2025-12,25044,574
Q12,2026-01,30069,856
Q12,2026-02,31009,1077
Q12,2026-03,34325,1189
Q12,2026-04,23338,696
Q12,2026-05,30896,1011
Q12,2026-06,50223,1694
Q12,2026-07,59074,2160
Q121,2025-01,2200,10
Q13,2024-10,159047,5613
Q13,2024-11,143954,5343
Q13,2024-12,141059,5140
Q13,2025-01,123672,4500
Q13,2025-02,108772,4332
Q13,2025-03,137186,5106
Q13,2025-04,122959,4536
Q13,2025-05,120937,4206
Q13,2025-06,117634,4440
Q13,2025-07,83966,3011
Q13,2025-08,83305,2968
Q13,2025-09,87439,3186
Q13,2025-10,81476,2979
Q13,2025-11,81539,3086
Q13,2025-12,83648,3023
Q13,2026-01,75883,2785
Q13,2026-02,62651,2559
Q13,2026-03,79724,3050
Q13,2026-04,69542,2515
Q13,2026-05,90852,3457
Q13,2026-06,84372,3116
Q13,2026-07,68983,2396
Q14,2025-06,7925,257
Q14,2025-07,179185,6424
Q14,2025-08,181952,6681
Q14,2025-09,188133,7002
Q14,2025-10,197541,7077
Q14,2025-11,179334,6873
Q14,2025-12,177813,6311
Q14,2026-01,155535,5748
Q14,2026-02,132449,5408
Q14,2026-03,167694,6169
Q14,2026-04,170871,6513
Q14,2026-05,188446,6991
Q14,2026-06,187916,6808
Q14,2026-07,174103,6152
Q15,2024-10,52705,1899
Q15,2024-11,48485,1808
Q15,2024-12,44544,1604
Q15,2025-01,39649,1395
Q15,2025-02,35281,1385
Q15,2025-03,37221,1320
Q15,2025-04,44052,1650
Q15,2025-05,46455,1618
Q15,2025-06,41103,1472
Q15,2025-07,74551,2648
Q15,2025-08,68099,2457
Q15,2025-09,72723,2636
Q15,2025-10,69681,2569
Q15,2025-11,65047,2489
Q15,2025-12,60066,2128
Q15,2026-01,60869,2287
Q15,2026-02,52970,2201
Q15,2026-03,64347,2378
Q15,2026-04,56704,2119
Q15,2026-05,70187,2666
Q15,2026-06,66762,2445
Q15,2026-07,58111,2041
Q15A,2024-10,61326,2237
Q15A,2024-11,53847,2033
Q15A,2024-12,51216,1873
Q15A,2025-01,47453,1738
Q15A,2025-02,41715,1678
Q15A,2025-03,40803,1502
Q15A,2025-04,50134,1981
Q15A,2025-05,53294,1991
Q15A,2025-06,42744,1621
Q16,2024-10,73159,2670
Q16,2024-11,69795,2701
Q16,2024-12,64607,2436
Q16,2025-01,51348,1811
Q16,2025-02,44540,1801
Q16,2025-03,52574,1880
Q16,2025-04,60906,2347
Q16,2025-05,68774,2522
Q16,2025-06,64322,2520
Q16,2025-07,44743,1538
Q16,2025-08,45329,1567
Q16,2025-09,46131,1706
Q16,2025-10,46932,1671
Q16,2025-11,46222,1810
Q16,2025-12,40095,1443
Q16,2026-01,37755,1438
Q16,2026-02,37574,1564
Q16,2026-03,46296,1786
Q16,2026-04,41584,1601
Q16,2026-05,37690,1373
Q16,2026-06,45295,1680
Q16,2026-07,28430,921
Q17,2024-10,265828,9252
Q17,2024-11,252710,9388
Q17,2024-12,242373,8441
Q17,2025-01,235933,8375
Q17,2025-02,210490,8474
Q17,2025-03,249242,9046
Q17,2025-04,241663,8773
Q17,2025-05,261810,9242
Q17,2025-06,236025,8534
Q17,2025-07,235660,7987
Q17,2025-08,209533,7174
Q17,2025-09,226022,8242
Q17,2025-10,244382,8669
Q17,2025-11,220417,8222
Q17,2025-12,222550,7880
Q17,2026-01,192468,6919
Q17,2026-02,162296,6567
Q17,2026-03,199748,7291
Q17,2026-04,182138,6705
Q17,2026-05,202998,7394
Q17,2026-06,182187,6415
Q17,2026-07,184950,6470
Q18,2024-10,67192,2492
Q18,2024-11,58143,2223
Q18,2024-12,64068,2341
Q18,2025-01,56053,2029
Q18,2025-02,79346,3431
Q18,2025-03,142124,5407
Q18,2025-04,176184,6662
Q18,2025-05,175860,6475
Q18,2025-06,184598,6907
Q18,2025-07,194334,7012
Q18,2025-08,185009,6814
Q18,2025-09,203063,7829
Q18,2025-10,211230,7722
Q18,2025-11,185262,7180
Q18,2025-12,184939,6777
Q18,2026-01,171486,6452
Q18,2026-02,155671,6515
Q18,2026-03,169730,6333
Q18,2026-04,158365,6031
Q18,2026-05,168055,6503
Q18,2026-06,179944,6944
Q18,2026-07,167075,5975
Q19,2024-10,53250,2003
Q19,2024-11,42574,1658
Q19,2024-12,39861,1567
Q19,2025-01,41322,1472
Q19,2025-02,39568,1623
Q19,2025-03,46032,1808
Q19,2025-04,43428,1671
Q19,2025-05,51343,1999
Q19,2025-06,55853,2046
Q19,2025-07,94853,3513
Q19,2025-08,85400,3230
Q19,2025-09,88579,3424
Q19,2025-10,87416,3205
Q19,2025-11,90937,3543
Q19,2025-12,84483,3124
Q19,2026-01,71751,2676
Q19,2026-02,59837,2450
Q19,2026-03,75681,2858
Q19,2026-04,77636,3000
Q19,2026-05,86411,3316
Q19,2026-06,91679,3523
Q19,2026-07,85973,3103
Q2,2024-10,113444,4096
Q2,2024-11,100306,3791
Q2,2024-12,95132,3554
Q2,2025-01,85900,3111
Q2,2025-02,86759,3662
Q2,2025-03,97674,3742
Q2,2025-04,104187,4049
Q2,2025-05,104119,3846
Q2,2025-06,87017,3405
Q2,2025-07,82162,3028
Q2,2025-08,76621,2863
Q2,2025-09,81150,3070
Q2,2025-10,85100,3120
Q2,2025-11,76157,2917
Q2,2025-12,71644,2645
Q2,2026-01,65591,2486
Q2,2026-02,56552,2331
Q2,2026-03,66229,2492
Q2,2026-04,70881,2806
Q2,2026-05,85533,3401
Q2,2026-06,82930,3302
Q2,2026-07,84113,3189
Q20,2025-06,13121,370
Q20,2025-07,209413,7124
Q20,2025-08,216706,7751
Q20,2025-09,231390,8608
Q20,2025-10,231072,8272
Q20,2025-11,223573,8535
Q20,2025-12,229520,8053
Q20,2026-01,199709,7420
Q20,2026-02,177853,7202
Q20,2026-03,226872,8113
Q20,2026-04,211063,8017
Q20,2026-05,221146,8070
Q20,2026-06,211511,7760
Q20,2026-07,181348,6161
Q20A,2024-10,195054,5977
Q20A,2024-11,189733,6160
Q20A,2024-12,173682,5420
Q20A,2025-01,160360,4982
Q20A,2025-02,152398,5251
Q20A,2025-03,175651,5596
Q20A,2025-04,159915,4897
Q20A,2025-05,175221,5293
Q20A,2025-06,151415,4759
Q20B,2024-10,129576,5634
Q20B,2024-11,112823,5373
Q20B,2024-12,101961,4635
Q20B,2025-01,96536,4197
Q20B,2025-02,88073,4404
Q20B,2025-03,101962,4855
Q20B,2025-04,95738,4352
Q20B,2025-05,98722,4487
Q20B,2025-06,89943,4283
Q21,2024-10,4584,135
Q21,2024-11,5223,170
Q21,2024-12,6479,200
Q21,2025-01,7481,243
Q21,2025-02,16903,665
Q21,2025-03,45723,1649
Q21,2025-04,55230,1965
Q21,2025-05,72548,2491
Q21,2025-06,63987,2232
Q21,2025-07,58153,1953
Q21,2025-08,54864,1830
Q22,2024-10,18090,650
Q22,2024-11,14200,552
Q22,2024-12,15862,562
Q22,2025-01,22767,829
Q22,2025-02,70548,3021
Q22,2025-03,157348,5818
Q22,2025-04,212296,7866
Q22,2025-05,270802,9792
Q22,2025-06,264135,9969
Q22,2025-07,281979,9844
Q22,2025-08,262703,9284
Q22,2025-09,255941,9544
Q22,2025-10,266644,9509
Q22,2025-11,234425,9009
Q22,2025-12,239419,8571
Q22,2026-01,229351,8547
Q22,2026-02,192789,7902
Q22,2026-03,230963,8506
Q22,2026-04,244048,9291
Q22,2026-05,277124,10365
Q22,2026-06,275697,10080
Q22,2026-07,267000,9498
Q23,2024-10,201480,7489
Q23,2024-11,190593,7232
Q23,2024-12,183543,6774
Q23,2025-01,179505,6612
Q23,2025-02,167253,6811
Q23,2025-03,188150,7104
Q23,2025-04,189229,7168
Q23,2025-05,226899,8421
Q23,2025-06,197513,7401
Q23,2025-07,258271,9225
Q23,2025-08,249073,9105
Q23,2025-09,243771,9249
Q23,2025-10,256888,9290
Q23,2025-11,244117,9473
Q23,2025-12,236425,8575
Q23,2026-01,221715,8449
Q23,2026-02,193048,7960
Q23,2026-03,235084,8902
Q23,2026-04,218241,8173
Q23,2026-05,258608,9836
Q23,2026-06,244482,9025
Q23,2026-07,256717,9398
Q24,2024-10,182649,6582
Q24,2024-11,152764,5719
Q24,2024-12,135410,4950
Q24,2025-01,145013,5154
Q24,2025-02,125373,5147
Q24,2025-03,158012,5705
Q24,2025-04,148553,5418
Q24,2025-05,145912,5286
Q24,2025-06,137162,5193
Q24,2025-07,142710,5076
Q24,2025-08,131403,4817
Q24,2025-09,137743,5297
Q24,2025-10,131236,4848
Q24,2025-11,113538,4478
Q24,2025-12,102041,3860
Q24,2026-01,98848,3673
Q24,2026-02,80250,3427
Q24,2026-03,119551,4516
Q24,2026-04,118559,4500
Q24,2026-05,129787,5016
Q24,2026-06,132027,4827
Q24,2026-07,111095,3826
Q25,2024-10,267158,9596
Q25,2024-11,222924,8092
Q25,2024-12,206083,7515
Q25,2025-01,225228,8061
Q25,2025-02,212466,8527
Q25,2025-03,239300,9115
Q25,2025-04,233469,8658
Q25,2025-05,284267,10130
Q25,2025-06,237032,8799
Q25,2025-07,288916,10388
Q25,2025-08,281643,10693
Q25,2025-09,308006,11894
Q25,2025-10,309564,11649
Q25,2025-11,296098,11862
Q25,2025-12,280730,10650
Q25,2026-01,260199,9639
Q25,2026-02,218419,9021
Q25,2026-03,277602,10873
Q25,2026-04,258990,10066
Q25,2026-05,315422,12262
Q25,2026-06,330708,12303
Q25,2026-07,276589,10211
Q26,2024-10,20892,908
Q26,2024-11,17350,826
Q26,2024-12,14933,679
Q26,2025-01,13272,577
Q26,2025-02,11329,566
Q26,2025-03,14767,703
Q26,2025-04,14607,664
Q26,2025-05,13218,601
Q26,2025-06,17905,733
Q26,2025-07,134116,4765
Q26,2025-08,131890,4944
Q26,2025-09,143372,5345
Q26,2025-10,155752,5746
Q26,2025-11,135187,5214
Q26,2025-12,131069,4732
Q26,2026-01,133803,4995
Q26,2026-02,111007,4516
Q26,2026-03,128397,4899
Q26,2026-04,134794,5164
Q26,2026-05,154490,5670
Q26,2026-06,171831,6308
Q26,2026-07,153900,5482
Q27,2024-10,477486,17418
Q27,2024-11,415050,15616
Q27,2024-12,396618,14443
Q27,2025-01,370317,13232
Q27,2025-02,339714,14154
Q27,2025-03,414288,15610
Q27,2025-04,391748,14617
Q27,2025-05,401728,14790
Q27,2025-06,331908,12243
Q27,2025-07,261064,9364
Q27,2025-08,257365,9462
Q27,2025-09,292180,11161
Q27,2025-10,298388,10947
Q27,2025-11,263515,10427
Q27,2025-12,241883,8823
Q27,2026-01,214487,7986
Q27,2026-02,196312,8170
Q27,2026-03,256277,9801
Q27,2026-04,214169,8196
Q27,2026-05,237751,9093
Q27,2026-06,225363,8328
Q27,2026-07,203518,7056
Q28,2024-10,197445,7415
Q28,2024-11,175320,6747
Q28,2024-12,166757,6150
Q28,2025-01,143435,5250
Q28,2025-02,139576,5933
Q28,2025-03,161668,6207
Q28,2025-04,162176,6302
Q28,2025-05,171742,6344
Q28,2025-06,138495,5218
Q28,2025-07,75190,2690
Q28,2025-08,71519,2498
Q28,2025-09,90304,3512
Q28,2025-10,93426,3474
Q28,2025-11,87806,3564
Q28,2025-12,86837,3241
Q28,2026-01,77162,3009
Q28,2026-02,64407,2778
Q28,2026-03,83376,3279
Q28,2026-04,82880,3205
Q28,2026-05,106310,4282
Q28,2026-06,100975,3835
Q28,2026-07,78075,2790
Q29,2024-10,51719,1787
Q29,2024-11,48697,1775
Q29,2024-12,38250,1349
Q29,2025-01,39225,1422
Q29,2025-02,55031,2172
Q29,2025-03,92203,3380
Q29,2025-04,104946,3882
Q29,2025-05,121101,4267
Q29,2025-06,115477,4318
Q29,2025-07,121943,4267
Q29,2025-08,117294,4154
Q29,2025-09,119198,4394
Q29,2025-10,123967,4401
Q29,2025-11,109386,4120
Q29,2025-12,97830,3347
Q29,2026-01,91067,3378
Q29,2026-02,88154,3520
Q29,2026-03,102522,3742
Q29,2026-04,97584,3637
Q29,2026-05,100969,3606
Q29,2026-06,107532,3895
Q29,2026-07,96793,3390
Q3,2024-10,214848,7438
Q3,2024-11,190491,7116
Q3,2024-12,182136,6372
Q3,2025-01,168460,5906
Q3,2025-02,159922,6510
Q3,2025-03,171253,6230
Q3,2025-04,176071,6493
Q3,2025-05,181359,6552
Q3,2025-06,167720,6237
Q3,2025-07,163914,5670
Q3,2025-08,163270,5653
Q3,2025-09,160950,5862
Q3,2025-10,167812,5927
Q3,2025-11,157497,5761
Q3,2025-12,151605,5229
Q3,2026-01,144967,5252
Q3,2026-02,121612,4838
Q3,2026-03,133598,4968
Q3,2026-04,132261,4968
Q3,2026-05,151846,5659
Q3,2026-06,137645,4926
Q3,2026-07,143589,4969
Q30,2024-10,184951,7255
Q30,2024-11,158369,6615
Q30,2024-12,141536,5628
Q30,2025-01,137044,5258
Q30,2025-02,140087,6192
Q30,2025-03,157453,6571
Q30,2025-04,155096,6243
Q30,2025-05,158067,6287
Q30,2025-06,117366,4830
Q30,2025-07,60799,2140
Q30,2025-08,53028,1781
Q30,2025-09,70108,2664
Q30,2025-10,71650,2638
Q30,2025-11,62436,2383
Q30,2025-12,59094,2135
Q30,2026-01,54464,2006
Q30,2026-02,52932,2086
Q30,2026-03,61633,2288
Q30,2026-04,49847,1845
Q30,2026-05,52845,1904
Q30,2026-06,46628,1673
Q30,2026-07,46444,1599
Q31,2024-10,134271,5392
Q31,2024-11,107689,4659
Q31,2024-12,94120,3942
Q31,2025-01,92228,3735
Q31,2025-02,85849,4013
Q31,2025-03,106716,4681
Q31,2025-04,100331,4219
Q31,2025-05,108755,4553
Q31,2025-06,87067,3798
Q31,2025-07,65451,2564
Q31,2025-08,58600,2465
Q31,2025-09,84579,3558
Q31,2025-10,78029,3116
Q31,2025-11,74254,3346
Q31,2025-12,72023,2881
Q31,2026-01,64081,2694
Q31,2026-02,53297,2477
Q31,2026-03,70351,3004
Q31,2026-04,61837,2598
Q31,2026-05,65810,2834
Q31,2026-06,54022,2249
Q31,2026-07,41274,1599
Q32,2024-10,195052,6754
Q32,2024-11,165062,5882
Q32,2024-12,146852,4991
Q32,2025-01,150448,5090
Q32,2025-02,137740,5292
Q32,2025-03,171719,6026
Q32,2025-04,174314,6298
Q32,2025-05,180740,6160
Q32,2025-06,186639,6496
Q32,2025-07,211639,7309
Q32,2025-08,191583,6626
Q32,2025-09,180604,6511
Q32,2025-10,186364,6415
Q32,2025-11,174603,6220
Q32,2025-12,170318,5908
Q32,2026-01,152923,5413
Q32,2026-02,132043,5153
Q32,2026-03,155398,5419
Q32,2026-04,154527,5477
Q32,2026-05,195935,6471
Q32,2026-06,167932,5942
Q32,2026-07,169017,5851
Q33,2024-10,55410,2071
Q33,2024-11,48457,1743
Q33,2024-12,49843,1751
Q33,2025-01,45326,1655
Q33,2025-02,66694,2801
Q33,2025-03,114710,4301
Q33,2025-04,138881,5251
Q33,2025-05,139872,5068
Q33,2025-06,129973,5058
Q33,2025-07,143078,5135
Q33,2025-08,136506,5062
Q33,2025-09,115223,4257
Q33,2025-10,120628,4317
Q33,2025-11,110638,4259
Q33,2025-12,114361,4089
Q33,2026-01,103026,3812
Q33,2026-02,92863,3737
Q33,2026-03,106917,4056
Q33,2026-04,96211,3689
Q33,2026-05,98389,3778
Q33,2026-06,99605,3776
Q33,2026-07,99854,3645
Q34,2024-10,74234,3227
Q34,2024-11,59716,2843
Q34,2024-12,55706,2532
Q34,2025-01,60048,2611
Q34,2025-02,56764,2838
Q34,2025-03,61822,2944
Q34,2025-04,64602,2936
Q34,2025-05,74886,3404
Q34,2025-06,56549,2692
Q35,2024-10,12894,394
Q35,2024-11,8331,265
Q35,2024-12,12614,422
Q35,2025-01,9609,306
Q35,2025-02,30753,1243
Q35,2025-03,66933,2387
Q35,2025-04,93837,3504
Q35,2025-05,108199,3758
Q35,2025-06,111688,3983
Q35,2025-07,127311,4053
Q35,2025-08,119430,3563
Q35,2025-09,102020,3676
Q35,2025-10,95145,3223
Q35,2025-11,88835,3284
Q35,2025-12,90979,3163
Q35,2026-01,75722,2761
Q35,2026-02,69328,2774
Q35,2026-03,84070,3019
Q35,2026-04,83140,3057
Q35,2026-05,103000,3694
Q35,2026-06,119617,3898
Q35,2026-07,129523,3940
Q36,2024-10,125460,4773
Q36,2024-11,115409,4642
Q36,2024-12,101103,3931
Q36,2025-01,93683,3556
Q36,2025-02,80193,3499
Q36,2025-03,101199,3943
Q36,2025-04,105376,4128
Q36,2025-05,103772,3990
Q36,2025-06,93183,3742
Q36,2025-07,36819,1384
Q36,2025-08,31170,1186
Q36,2025-09,37855,1499
Q36,2025-10,39600,1501
Q36,2025-11,31420,1269
Q36,2025-12,30129,1122
Q36,2026-01,30113,1218
Q36,2026-02,27308,1205
Q36,2026-03,34520,1421
Q36,2026-04,27088,1069
Q36,2026-05,27489,1067
Q36,2026-06,28922,1153
Q36,2026-07,29480,1092
Q37,2024-10,20851,818
Q37,2024-11,14465,570
Q37,2024-12,12617,467
Q37,2025-01,11761,435
Q37,2025-02,76222,3351
Q37,2025-03,129383,4919
Q37,2025-04,164587,6355
Q37,2025-05,162332,6059
Q37,2025-06,147007,5786
Q37,2025-07,159198,5770
Q37,2025-08,147248,5519
Q37,2025-09,160520,6165
Q37,2025-10,165732,6243
Q37,2025-11,151422,6082
Q37,2025-12,141893,5205
Q37,2026-01,139295,5343
Q37,2026-02,125132,5311
Q37,2026-03,147526,5730
Q37,2026-04,147816,5755
Q37,2026-05,159590,6145
Q37,2026-06,159491,6014
Q37,2026-07,151252,5557
Q38,2024-10,86132,3267
Q38,2024-11,75304,3182
Q38,2024-12,82418,3114
Q38,2025-01,81765,3150
Q38,2025-02,69289,3008
Q38,2025-03,92343,3571
Q38,2025-04,81313,3247
Q38,2025-05,103667,3922
Q38,2025-06,85493,3496
Q38,2025-07,41215,1528
Q38,2025-08,41450,1639
Q38,2025-09,43618,1725
Q38,2025-10,49069,1870
Q38,2025-11,45378,1877
Q38,2025-12,44645,1701
Q38,2026-01,42383,1699
Q38,2026-02,36477,1608
Q38,2026-03,43056,1718
Q38,2026-04,40830,1640
Q38,2026-05,38455,1589
Q38,2026-06,47367,1872
Q38,2026-07,33001,1233
Q39,2024-10,41100,1637
Q39,2024-11,38358,1661
Q39,2024-12,30054,1229
Q39,2025-01,33999,1371
Q39,2025-02,52667,2393
Q39,2025-03,78871,3231
Q39,2025-04,93982,3817
Q39,2025-05,98159,3960
Q39,2025-06,83913,3493
Q39,2025-07,76758,2969
Q39,2025-08,68997,2776
Q39,2025-09,92971,3809
Q39,2025-10,101469,4004
Q39,2025-11,87993,3861
Q39,2025-12,79055,3117
Q39,2026-01,77172,3129
Q39,2026-02,66396,2993
Q39,2026-03,88995,3649
Q39,2026-04,75914,3111
Q39,2026-05,79838,3388
Q39,2026-06,73767,2958
Q39,2026-07,66061,2554
Q4,2024-10,207309,7716
Q4,2024-11,182384,6998
Q4,2024-12,165864,6254
Q4,2025-01,172549,6373
Q4,2025-02,158163,6644
Q4,2025-03,182339,7003
Q4,2025-04,172551,6592
Q4,2025-05,185541,6987
Q4,2025-06,174257,6773
Q4,2025-07,146401,5247
Q4,2025-08,136196,4999
Q4,2025-09,149240,5765
Q4,2025-10,159517,6030
Q4,2025-11,130408,5132
Q4,2025-12,130015,4802
Q4,2026-01,118603,4530
Q4,2026-02,96116,3923
Q4,2026-03,118335,4566
Q4,2026-04,104857,4016
Q4,2026-05,126694,5043
Q4,2026-06,112749,4272
Q4,2026-07,120977,4308
Q40,2024-10,11480,419
Q40,2024-11,9503,354
Q40,2024-12,8617,325
Q40,2025-01,6818,247
Q40,2025-02,57516,2450
Q40,2025-03,90299,3395
Q40,2025-04,111586,4205
Q40,2025-05,112195,4090
Q40,2025-06,108432,4159
Q40,2025-07,112379,4053
Q40,2025-08,106914,3930
Q40,2025-09,101412,3849
Q40,2025-10,104660,3879
Q40,2025-11,91333,3595
Q40,2025-12,88399,3210
Q40,2026-01,79919,3022
Q40,2026-02,71483,2920
Q40,2026-03,88449,3348
Q40,2026-04,87895,3397
Q40,2026-05,98590,3807
Q40,2026-06,98082,3666
Q40,2026-07,89392,3202
Q41,2024-10,12348,484
Q41,2024-11,8097,333
Q41,2024-12,12284,514
Q41,2025-01,13787,541
Q41,2025-02,44516,2008
Q41,2025-03,109717,4425
Q41,2025-04,149189,5890
Q41,2025-05,173569,6717
Q41,2025-06,186623,7645
Q41,2025-07,156836,5855
Q41,2025-08,146343,5647
Q41,2025-09,160887,6281
Q41,2025-10,166896,6396
Q41,2025-11,147819,6062
Q41,2025-12,155737,5907
Q41,2026-01,141282,5495
Q41,2026-02,129419,5551
Q41,2026-03,156635,6167
Q41,2026-04,155242,6074
Q41,2026-05,171259,6768
Q41,2026-06,161635,6253
Q41,2026-07,154936,5783
Q42,2024-10,17510,761
Q42,2024-11,14452,688
Q42,2024-12,13300,605
Q42,2025-01,14765,642
Q42,2025-02,13123,656
Q42,2025-03,14362,684
Q42,2025-04,14910,678
Q42,2025-05,14200,645
Q42,2025-06,12548,598
Q42,2025-07,14041,610
Q42,2025-08,11901,567
Q42,2025-09,13734,624
Q42,2025-10,16083,699
Q42,2025-11,10562,528
Q42,2025-12,11500,500
Q42,2026-01,11271,512
Q42,2026-02,9430,472
Q42,2026-03,11642,529
Q42,2026-04,12707,578
Q42,2026-05,11147,531
Q42,2026-06,10668,485
Q42,2026-07,10248,446
Q43,2024-10,284794,10261
Q43,2024-11,253868,9480
Q43,2024-12,261483,9536
Q43,2025-01,249243,9029
Q43,2025-02,215093,8775
Q43,2025-03,249987,9341
Q43,2025-04,229215,8686
Q43,2025-05,230319,8663
Q43,2025-06,210162,8124
Q43,2025-07,163920,5898
Q43,2025-08,146670,5265
Q43,2025-09,163867,6376
Q43,2025-10,170512,6432
Q43,2025-11,152362,5937
Q43,2025-12,142611,5218
Q43,2026-01,130242,5027
Q43,2026-02,116917,4964
Q43,2026-03,145223,5716
Q43,2026-04,134212,5264
Q43,2026-05,140386,5574
Q43,2026-06,147586,5634
Q43,2026-07,123324,4402
Q44+,2024-10,719886,25225
Q44+,2024-11,594894,21820
Q44+,2024-12,553102,19570
Q44+,2025-01,546141,19156
Q44+,2025-02,496187,19813
Q44+,2025-03,544550,19552
Q44+,2025-04,539394,19865
Q44+,2025-05,501103,17626
Q44+,2025-06,507640,18396
Q44+,2025-07,467048,15731
Q44+,2025-08,447685,15700
Q44+,2025-09,449307,16207
Q44+,2025-10,378468,12809
Q44+,2025-11,412919,15384
Q44+,2025-12,384375,13282
Q44+,2026-01,342714,12359
Q44+,2026-02,270000,10478
Q44+,2026-03,312067,10803
Q44+,2026-04,320135,11499
Q44+,2026-05,344204,12303
Q44+,2026-06,338699,12174
Q44+,2026-07,366173,12553
Q45,2025-06,3099,97
Q45,2025-07,75767,2674
Q45,2025-08,74839,2759
Q45,2025-09,78606,2956
Q45,2025-10,76149,2802
Q45,2025-11,68776,2640
Q45,2025-12,62400,2268
Q45,2026-01,58711,2278
